Age,Attrition,BusinessTravel,DailyRate,i,Education,EducationField,Gender,HourlyRate,JobLevel,]=,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
31,No,Travel_Rarely,670,Research & Development,1,Life Sciences,Male,31,1,Research Scientist,3,Divorced,2911,15170,No,17,3,80,5,1,2,5,2,4
34,No,Travel_Rarely,1346,Research & Development,2,Medical,Male,93,1,Laboratory Technician,4,Divorced,2661,8758,No,11,3,80,3,2,3,2,2,1
28,Yes,Travel_Rarely,103,Research & Development,3,Life Sciences,Male,50,1,Laboratory Technician,3,Single,2028,12947,Yes,14,3,80,6,4,3,4,2,0
29,No,Travel_Rarely,1389,Research & Development,4,Life Sciences,Female,51,3,Manufacturing Director,1,Divorced,9980,10195,No,11,3,80,10,1,3,10,9,8
32,No,Travel_Rarely,334,Research & Development,2,Life Sciences,Male,80,1,Research Scientist,2,Divorced,3298,15053,Yes,12,3,80,7,5,2,6,2,0
22,No,Non-Travel,1123,Research & Development,2,Medical,Male,96,1,Laboratory Technician,4,Divorced,2935,7324,Yes,13,3,80,1,2,2,1,0,0
53,No,Travel_Rarely,1219,Sales,4,Life Sciences,Female,78,4,Manager,4,Married,15427,22021,No,16,3,80,31,3,3,25,8,3
38,No,Travel_Rarely,371,Research & Development,3,Life Sciences,Male,45,1,Research Scientist,4,Single,3944,4306,Yes,11,3,80,6,3,3,3,2,1
24,No,Non-Travel,673,Research & Development,2,Other,Female,96,2,Manufacturing Director,3,Divorced,4011,8232,No,18,3,80,5,5,2,4,2,1
36,Yes,Travel_Rarely,1218,Sales,4,Life Sciences,Male,82,1,Sales Representative,1,Single,3407,6986,No,23,4,80,10,4,3,5,3,0
34,No,Travel_Rarely,419,Research & Development,4,Life Sciences,Female,53,3,Research Director,2,Single,11994,21293,No,11,3,80,13,4,3,12,6,2
21,No,Travel_Rarely,391,Research & Development,2,Life Sciences,Male,96,1,Research Scientist,4,Single,1232,19281,No,14,3,80,0,6,3,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,1,Medical,Male,83,1,Research Scientist,1,Single,2960,17102,No,11,3,80,8,2,3,4,2,1
53,No,Travel_Rarely,1282,Research & Development,3,Other,Female,58,5,Manager,3,Divorced,19094,10735,No,11,3,80,26,3,2,14,13,4
32,Yes,Travel_Frequently,1125,Research & Development,1,Life Sciences,Female,72,1,Research Scientist,1,Single,3919,4681,Yes,22,4,80,10,5,3,10,2,6
42,No,Travel_Rarely,691,Sales,4,Marketing,Male,48,2,Sales Executive,2,Married,6825,21173,No,11,3,80,10,2,3,9,7,4
44,No,Travel_Rarely,477,Research & Development,4,Medical,Female,42,3,Healthcare Representative,4,Married,10248,2094,No,14,3,80,24,4,3,22,6,5
46,No,Travel_Rarely,705,Sales,4,Marketing,Female,83,5,Manager,1,Single,18947,22822,No,12,3,80,22,2,2,2,2,2
33,No,Travel_Rarely,924,Research & Development,3,Medical,Male,78,1,Laboratory Technician,4,Single,2496,6670,No,11,3,80,7,3,3,1,1,0
44,No,Travel_Rarely,1459,Research & Development,4,Other,Male,41,2,Healthcare Representative,4,Married,6465,19121,Yes,13,3,80,9,5,4,4,2,1
30,No,Travel_Rarely,125,Research & Development,2,Medical,Male,83,1,Laboratory Technician,3,Single,2206,16117,No,13,3,80,10,5,3,10,0,1
39,Yes,Travel_Rarely,895,Sales,3,Technical Degree,Male,56,2,Sales Representative,4,Married,2086,3335,No,14,3,80,19,6,4,1,0,0
24,Yes,Travel_Rarely,813,Research & Development,3,Medical,Male,61,1,Research Scientist,4,Married,2293,3020,Yes,16,3,80,6,2,2,2,0,2
43,No,Travel_Rarely,1273,Research & Development,2,Medical,Female,72,1,Research Scientist,3,Divorced,2645,21923,No,12,3,80,6,3,2,5,3,1
50,Yes,Travel_Rarely,869,Sales,2,Marketing,Male,86,1,Sales Representative,3,Married,2683,3810,Yes,14,3,80,3,2,3,3,2,0
35,No,Travel_Rarely,890,Sales,3,Marketing,Female,97,1,Sales Representative,4,Married,2014,9687,No,13,3,80,2,3,3,2,2,2
36,No,Travel_Rarely,852,Research & Development,4,Life Sciences,Female,82,1,Research Scientist,1,Married,3419,13072,Yes,14,3,80,6,3,4,1,1,0
33,No,Travel_Frequently,1141,Sales,3,Life Sciences,Female,42,2,Sales Executive,1,Married,5376,3193,No,19,3,80,10,3,3,5,3,1
35,No,Travel_Rarely,464,Research & Development,2,Other,Male,75,1,Laboratory Technician,4,Divorced,1951,10910,No,12,3,80,1,3,3,1,0,0
27,No,Travel_Rarely,1240,Research & Development,4,Life Sciences,Female,33,1,Laboratory Technician,1,Divorced,2341,19715,No,13,3,80,1,6,3,1,0,0
26,Yes,Travel_Rarely,1357,Research & Development,3,Life Sciences,Male,48,1,Laboratory Technician,3,Single,2293,10558,No,12,3,80,1,2,2,1,0,0
27,No,Travel_Frequently,994,Sales,3,Life Sciences,Male,37,3,Sales Executive,3,Single,8726,2975,No,15,3,80,9,0,3,9,8,1
30,No,Travel_Frequently,721,Research & Development,2,Medical,Female,58,2,Laboratory Technician,4,Single,4011,10781,No,23,4,80,12,2,3,12,8,3
41,Yes,Travel_Rarely,1360,Research & Development,3,Technical Degree,Female,49,5,Research Director,3,Married,19545,16280,No,12,3,80,23,0,3,22,15,15
34,No,Non-Travel,1065,Sales,4,Marketing,Male,72,2,Sales Executive,3,Single,4568,10034,No,20,4,80,10,2,3,9,5,8
37,No,Travel_Rarely,408,Research & Development,2,Life Sciences,Male,73,1,Research Scientist,2,Married,3022,10227,No,21,4,80,8,1,3,1,0,0
46,No,Travel_Frequently,1211,Sales,4,Marketing,Male,98,2,Sales Executive,4,Single,5772,20445,Yes,21,4,80,14,4,3,9,6,0
35,No,Travel_Rarely,1229,Research & Development,1,Life Sciences,Male,36,1,Laboratory Technician,4,Married,2269,4892,No,19,3,80,1,2,3,1,0,0
48,Yes,Travel_Rarely,626,Research & Development,2,Life Sciences,Male,98,3,Laboratory Technician,3,Single,5381,19294,Yes,13,3,80,23,2,3,1,0,0
28,Yes,Travel_Rarely,1434,Research & Development,4,Technical Degree,Male,50,1,Laboratory Technician,3,Single,3441,11179,Yes,13,3,80,2,3,2,2,2,2
44,No,Travel_Rarely,1488,Sales,5,Marketing,Female,75,2,Sales Executive,1,Divorced,5454,4009,Yes,21,4,80,9,2,2,4,3,1
35,No,Non-Travel,1097,Research & Development,2,Medical,Male,79,3,Healthcare Representative,1,Married,9884,8302,Yes,13,3,80,10,3,3,4,0,2
26,No,Travel_Rarely,1443,Sales,3,Marketing,Female,47,2,Sales Executive,4,Married,4157,21436,Yes,19,3,80,5,2,2,2,2,0
33,No,Travel_Frequently,515,Research & Development,2,Life Sciences,Female,98,3,Research Director,4,Single,13458,15146,Yes,12,3,80,15,1,3,15,14,8
35,No,Travel_Frequently,853,Sales,5,Life Sciences,Male,71,3,Sales Executive,1,Married,9069,11031,No,22,4,80,9,3,2,9,8,1
35,No,Travel_Rarely,1142,Research & Development,4,Medical,Female,30,1,Laboratory Technician,1,Married,4014,16002,Yes,15,3,80,4,3,3,2,2,2
31,No,Travel_Rarely,655,Research & Development,4,Life Sciences,Male,48,2,Laboratory Technician,4,Divorced,5915,9528,No,22,4,80,10,3,2,7,7,1
37,No,Travel_Rarely,1115,Research & Development,4,Life Sciences,Male,51,2,Manufacturing Director,3,Divorced,5993,2689,No,18,3,80,7,2,4,7,5,0
32,No,Travel_Rarely,427,Research & Development,3,Medical,Male,33,2,Manufacturing Director,4,Married,6162,10877,Yes,22,4,80,9,3,3,9,8,7
38,No,Travel_Frequently,653,Research & Development,5,Life Sciences,Female,50,2,Laboratory Technician,4,Single,2406,5456,No,11,3,80,10,2,3,10,3,9
50,No,Travel_Rarely,989,Research & Development,2,Medical,Female,43,5,Research Director,3,Divorced,18740,16701,Yes,12,3,80,29,2,2,27,3,13
59,No,Travel_Rarely,1435,Sales,3,Life Sciences,Female,99,3,Sales Executive,1,Single,7637,2354,No,11,3,80,28,3,2,21,16,7
36,No,Travel_Rarely,1223,Research & Development,3,Technical Degree,Female,59,3,Healthcare Representative,3,Divorced,10096,8202,No,13,3,80,17,2,3,17,14,12
55,No,Travel_Rarely,836,Research & Development,3,Medical,Female,33,4,Manager,3,Divorced,14756,19730,Yes,14,3,80,21,2,3,5,0,0
36,No,Travel_Frequently,1195,Research & Development,3,Life Sciences,Male,95,2,Manufacturing Director,2,Single,6499,22656,No,13,3,80,6,3,3,6,5,0
45,No,Travel_Rarely,1339,Research & Development,3,Life Sciences,Male,59,3,Research Scientist,1,Divorced,9724,18787,No,17,3,80,25,2,3,1,0,0
35,No,Travel_Frequently,664,Research & Development,3,Medical,Male,79,1,Research Scientist,1,Married,2194,5868,No,13,3,80,5,2,2,3,2,1
36,Yes,Travel_Rarely,318,Research & Development,3,Medical,Male,79,1,Research Scientist,3,Married,3388,21777,Yes,17,3,80,2,0,2,1,0,0
59,No,Travel_Frequently,1225,Sales,1,Life Sciences,Female,57,2,Sales Executive,3,Single,5473,24668,No,11,3,80,20,2,2,4,3,1
29,No,Travel_Rarely,1328,Research & Development,3,Life Sciences,Male,76,1,Research Scientist,2,Married,2703,4956,No,23,4,80,6,3,3,5,4,0
31,No,Travel_Rarely,1082,Research & Development,4,Medical,Male,87,1,Research Scientist,2,Single,2501,18775,No,17,3,80,1,4,3,1,1,1
32,No,Travel_Rarely,548,Research & Development,3,Life Sciences,Male,66,2,Research Scientist,2,Married,6220,7346,No,17,3,80,10,3,3,10,4,0
36,No,Travel_Rarely,132,Research & Development,3,Life Sciences,Female,55,1,Laboratory Technician,4,Married,3038,22002,No,12,3,80,5,3,3,1,0,0
31,No,Travel_Rarely,746,Research & Development,4,Life Sciences,Female,61,2,Manufacturing Director,4,Single,4424,20682,No,23,4,80,11,2,3,11,7,1
35,No,Travel_Rarely,776,Sales,4,Marketing,Male,32,2,Sales Executive,1,Single,4312,23016,No,14,3,80,16,2,3,15,13,2
45,No,Travel_Rarely,193,Research & Development,4,Other,Male,52,3,Research Director,1,Married,13245,15067,Yes,14,3,80,17,3,4,0,0,0
37,No,Travel_Rarely,397,Research & Development,4,Medical,Male,30,3,Research Director,3,Single,13664,25258,No,13,3,80,16,3,4,5,2,0
46,No,Travel_Rarely,945,Human Resources,2,Medical,Male,80,2,Human Resources,2,Divorced,5021,10425,Yes,22,4,80,16,2,3,4,2,0
30,No,Travel_Rarely,852,Research & Development,1,Life Sciences,Male,55,2,Laboratory Technician,4,Married,5126,15998,Yes,12,3,80,10,1,2,10,8,3
35,No,Travel_Rarely,1214,Research & Development,3,Medical,Male,30,1,Research Scientist,3,Single,2859,26278,No,18,3,80,6,3,3,6,4,0
55,No,Travel_Rarely,111,Sales,2,Life Sciences,Male,70,3,Sales Executive,4,Married,10239,18092,No,14,3,80,24,4,3,1,0,1
38,No,Non-Travel,573,Research & Development,3,Medical,Female,79,2,Research Scientist,4,Divorced,5329,15717,Yes,12,3,80,17,3,3,13,11,1
34,No,Travel_Rarely,1153,Research & Development,2,Medical,Male,94,2,Manufacturing Director,2,Married,4325,17736,No,15,3,80,5,2,3,5,2,1
56,No,Travel_Rarely,1400,Research & Development,3,Life Sciences,Male,49,3,Manufacturing Director,4,Single,7260,21698,No,11,3,80,37,3,2,6,4,0
23,No,Travel_Rarely,541,Sales,1,Technical Degree,Male,62,1,Sales Representative,1,Divorced,2322,9518,No,13,3,80,3,3,3,0,0,0
51,No,Travel_Rarely,432,Research & Development,4,Life Sciences,Male,96,1,Laboratory Technician,4,Married,2075,18725,No,23,4,80,10,4,3,4,2,0
30,No,Travel_Rarely,288,Research & Development,3,Life Sciences,Male,99,2,Healthcare Representative,4,Married,4152,15830,No,19,3,80,11,3,3,11,10,10
46,Yes,Travel_Rarely,669,Sales,2,Medical,Male,64,3,Sales Executive,4,Single,9619,13596,No,16,3,80,9,3,3,9,8,4
40,No,Travel_Frequently,530,Research & Development,4,Life Sciences,Male,78,4,Healthcare Representative,2,Married,13503,14115,No,22,4,80,22,3,2,22,3,11
51,No,Travel_Rarely,632,Sales,4,Marketing,Male,71,2,Sales Executive,4,Single,5441,8423,Yes,22,4,80,11,2,1,10,7,1
30,No,Travel_Rarely,1334,Sales,2,Medical,Female,63,2,Sales Executive,2,Divorced,5209,19760,Yes,12,3,80,11,4,2,11,8,2
46,No,Travel_Frequently,638,Research & Development,3,Medical,Male,40,3,Healthcare Representative,1,Married,10673,3142,Yes,13,3,80,21,5,2,10,9,9
32,No,Travel_Rarely,1093,Sales,4,Medical,Male,87,2,Sales Executive,3,Single,5010,24301,No,16,3,80,12,0,3,11,8,5
54,No,Travel_Rarely,1217,Research & Development,4,Technical Degree,Female,60,3,Research Director,3,Married,13549,24001,No,12,3,80,16,5,1,4,3,0
24,No,Travel_Rarely,1353,Sales,2,Other,Female,33,2,Sales Executive,3,Married,4999,17519,No,21,4,80,4,2,2,3,2,0
28,No,Non-Travel,120,Sales,3,Medical,Male,43,2,Sales Executive,3,Married,4221,8863,No,15,3,80,5,3,4,5,4,0
58,No,Travel_Rarely,682,Sales,4,Medical,Male,37,4,Sales Executive,3,Single,13872,24409,No,13,3,80,38,1,2,37,10,1
44,No,Non-Travel,489,Research & Development,3,Medical,Male,67,2,Laboratory Technician,2,Married,2042,25043,No,12,3,80,17,3,4,3,2,1
37,Yes,Travel_Rarely,807,Human Resources,4,Human Resources,Male,63,1,Human Resources,1,Divorced,2073,23648,Yes,22,4,80,7,3,3,3,2,0
32,No,Travel_Rarely,827,Research & Development,1,Life Sciences,Male,71,1,Research Scientist,1,Single,2956,15178,No,13,3,80,1,2,3,1,0,0
20,Yes,Travel_Frequently,871,Research & Development,3,Life Sciences,Female,66,1,Laboratory Technician,4,Single,2926,19783,Yes,18,3,80,1,5,3,1,0,1
34,No,Travel_Rarely,665,Research & Development,4,Other,Female,41,2,Research Scientist,3,Single,4809,12482,No,14,3,80,16,3,3,16,13,2
37,No,Non-Travel,1040,Research & Development,2,Life Sciences,Male,100,2,Healthcare Representative,4,Divorced,5163,15850,No,14,3,80,17,2,4,1,0,0
59,No,Non-Travel,1420,Human Resources,4,Human Resources,Female,32,5,Manager,4,Married,18844,21922,No,21,4,80,30,3,3,3,2,2
50,No,Travel_Frequently,1115,Research & Development,3,Life Sciences,Female,73,5,Research Director,2,Married,18172,9755,Yes,19,3,80,28,1,2,8,3,0
25,Yes,Travel_Rarely,240,Sales,3,Marketing,Male,46,2,Sales Executive,3,Single,5744,26959,Yes,11,3,80,6,1,3,6,4,0
25,No,Travel_Rarely,1280,Research & Development,1,Medical,Male,64,1,Research Scientist,4,Married,2889,26897,No,11,3,80,2,2,3,2,2,2
22,No,Travel_Rarely,534,Research & Development,3,Medical,Female,59,1,Laboratory Technician,4,Single,2871,23785,No,15,3,80,1,5,3,0,0,0
51,No,Travel_Frequently,1456,Research & Development,4,Medical,Female,30,3,Healthcare Representative,1,Single,7484,25796,No,20,4,80,23,1,2,13,12,12
34,Yes,Travel_Frequently,658,Research & Development,3,Life Sciences,Male,66,2,Laboratory Technician,3,Single,6074,22887,Yes,24,4,80,9,3,3,9,7,0
54,No,Non-Travel,142,Human Resources,3,Human Resources,Female,30,4,Manager,4,Single,17328,13871,Yes,12,3,80,23,3,3,5,3,4
24,No,Travel_Rarely,1127,Research & Development,1,Life Sciences,Male,52,1,Laboratory Technician,3,Married,2774,13257,No,12,3,80,6,2,3,5,3,1
34,No,Travel_Rarely,1031,Research & Development,4,Life Sciences,Female,45,2,Research Scientist,2,Divorced,4505,15000,No,15,3,80,12,3,3,1,0,0
37,No,Travel_Rarely,1189,Sales,3,Life Sciences,Male,87,3,Sales Executive,4,Single,7428,14506,No,12,3,80,12,3,3,5,3,1
34,No,Travel_Rarely,1354,Research & Development,3,Medical,Female,45,3,Manager,1,Single,11631,5615,No,12,3,80,14,6,3,11,10,5
36,No,Travel_Frequently,1467,Sales,2,Technical Degree,Female,92,3,Sales Executive,4,Married,9738,22952,No,14,3,80,10,6,3,9,7,2
36,No,Travel_Rarely,922,Research & Development,2,Life Sciences,Female,39,1,Laboratory Technician,4,Divorced,2835,2561,No,22,4,80,7,2,3,1,0,0
43,No,Travel_Frequently,394,Sales,2,Life Sciences,Male,92,4,Manager,4,Married,16959,19494,Yes,12,3,80,25,3,4,25,12,4
30,No,Travel_Frequently,1312,Research & Development,3,Life Sciences,Male,96,1,Research Scientist,3,Divorced,2613,22310,No,25,4,80,10,2,2,10,7,0
33,No,Non-Travel,750,Sales,2,Marketing,Male,95,2,Sales Executive,2,Married,6146,15480,No,13,3,80,8,2,4,7,7,0
56,Yes,Travel_Rarely,441,Research & Development,4,Life Sciences,Female,72,1,Research Scientist,2,Married,4963,4510,Yes,18,3,80,7,2,3,5,4,4
51,No,Travel_Rarely,684,Research & Development,3,Life Sciences,Male,51,5,Research Director,3,Single,19537,6462,No,13,3,80,23,5,3,20,18,15
31,Yes,Travel_Rarely,249,Sales,4,Life Sciences,Male,76,2,Sales Executive,3,Married,6172,20739,Yes,18,3,80,12,3,2,7,7,7
26,No,Travel_Rarely,841,Research & Development,3,Other,Female,46,1,Research Scientist,2,Married,2368,23300,No,19,3,80,5,3,2,5,4,4
58,Yes,Travel_Rarely,147,Research & Development,4,Medical,Female,94,3,Healthcare Representative,4,Married,10312,3465,No,12,3,80,40,3,2,40,10,15
19,Yes,Travel_Rarely,528,Sales,1,Marketing,Male,50,1,Sales Representative,3,Single,1675,26820,Yes,19,3,80,0,2,2,0,0,0
22,No,Travel_Rarely,594,Research & Development,1,Technical Degree,Male,100,1,Laboratory Technician,4,Married,2523,19299,No,14,3,80,3,2,3,2,1,2
49,No,Travel_Rarely,470,Research & Development,4,Medical,Female,96,2,Manufacturing Director,1,Married,6567,5549,No,14,3,80,16,2,2,15,11,5
43,No,Travel_Frequently,957,Research & Development,3,Medical,Female,72,1,Research Scientist,3,Single,4739,16090,No,12,3,80,18,2,3,3,2,1
50,No,Travel_Frequently,809,Sales,3,Marketing,Female,77,3,Sales Executive,4,Single,9208,6645,No,11,3,80,16,3,3,2,2,2
31,Yes,Travel_Rarely,542,Sales,3,Life Sciences,Female,71,2,Sales Executive,3,Married,4559,24788,Yes,11,3,80,4,2,3,2,2,2
41,No,Travel_Rarely,802,Sales,1,Life Sciences,Male,96,3,Sales Executive,3,Divorced,8189,21196,Yes,13,3,80,12,2,3,9,7,0
26,No,Travel_Rarely,1355,Human Resources,1,Life Sciences,Female,61,1,Human Resources,3,Married,2942,8916,No,23,4,80,8,3,3,8,7,5
36,No,Travel_Rarely,216,Research & Development,2,Medical,Male,84,2,Manufacturing Director,2,Divorced,4941,2819,No,20,4,80,7,0,3,3,2,0
51,Yes,Travel_Frequently,1150,Research & Development,4,Life Sciences,Male,53,3,Manufacturing Director,4,Single,10650,25150,No,15,3,80,18,2,3,4,2,0
39,No,Travel_Rarely,1329,Sales,4,Life Sciences,Female,47,2,Sales Executive,3,Married,5902,14590,No,14,3,80,17,1,4,15,11,5
25,No,Travel_Rarely,959,Sales,3,Life Sciences,Male,41,2,Sales Executive,3,Married,8639,24835,No,18,3,80,6,3,3,2,2,2
30,No,Travel_Rarely,1240,Human Resources,3,Human Resources,Male,48,2,Human Resources,4,Married,6347,13982,Yes,19,3,80,12,2,1,11,9,4
32,Yes,Travel_Rarely,1033,Research & Development,3,Medical,Female,41,1,Laboratory Technician,1,Single,4200,10224,No,22,4,80,10,2,4,5,4,0
45,No,Travel_Rarely,1316,Research & Development,3,Medical,Male,83,1,Research Scientist,4,Single,3452,9752,No,13,3,80,9,2,2,6,5,0
38,No,Travel_Rarely,364,Research & Development,5,Technical Degree,Female,32,2,Research Scientist,3,Single,4317,2302,Yes,20,4,80,19,2,3,3,2,2
30,No,Travel_Rarely,438,Research & Development,3,Life Sciences,Female,75,1,Research Scientist,3,Single,2632,23910,No,14,3,80,5,4,2,5,4,0
32,No,Travel_Frequently,689,Sales,2,Medical,Male,35,2,Sales Executive,4,Divorced,4668,22812,No,17,3,80,9,2,4,8,7,0
30,No,Travel_Rarely,201,Research & Development,3,Technical Degree,Female,84,1,Research Scientist,1,Divorced,3204,10415,No,14,3,80,8,3,3,3,2,2
30,No,Travel_Rarely,1427,Research & Development,1,Medical,Male,35,1,Laboratory Technician,4,Single,2720,11162,No,13,3,80,6,3,3,5,3,1
41,No,Travel_Frequently,857,Research & Development,3,Life Sciences,Male,91,4,Manager,1,Divorced,17181,12888,No,13,3,80,21,2,2,7,6,7
41,No,Travel_Rarely,933,Research & Development,4,Life Sciences,Male,94,1,Laboratory Technician,1,Married,2238,6961,No,21,4,80,7,2,3,5,0,1
19,No,Travel_Rarely,1181,Research & Development,1,Medical,Female,79,1,Laboratory Technician,2,Single,1483,16102,No,14,3,80,1,3,3,1,0,0
40,No,Travel_Frequently,1395,Research & Development,3,Medical,Female,54,2,Research Scientist,2,Divorced,5605,8504,No,11,3,80,20,2,3,20,7,2
35,No,Travel_Rarely,662,Sales,5,Marketing,Male,94,3,Sales Executive,2,Married,7295,11439,No,13,3,80,10,3,3,10,8,0
53,No,Travel_Rarely,1436,Sales,2,Marketing,Male,34,2,Sales Representative,3,Married,2306,16047,Yes,20,4,80,13,3,1,7,7,4
45,No,Travel_Rarely,194,Research & Development,3,Life Sciences,Male,60,2,Laboratory Technician,2,Divorced,2348,10901,No,18,3,80,20,2,1,17,9,0
32,No,Travel_Frequently,967,Sales,3,Marketing,Female,43,3,Sales Executive,4,Single,8998,15589,No,14,3,80,9,2,3,9,8,3
29,No,Non-Travel,1496,Research & Development,1,Technical Degree,Male,41,2,Manufacturing Director,3,Married,4319,26283,No,13,3,80,10,1,3,10,7,0
51,No,Travel_Rarely,1169,Research & Development,4,Medical,Male,34,2,Manufacturing Director,3,Married,6132,13983,No,17,3,80,10,2,3,1,0,0
58,No,Travel_Rarely,1145,Research & Development,3,Medical,Female,75,1,Research Scientist,2,Married,3346,11873,Yes,20,4,80,9,3,2,1,0,0
40,No,Travel_Rarely,630,Sales,4,Marketing,Male,67,3,Sales Executive,4,Married,10855,8552,No,11,3,80,15,2,2,12,11,2
34,No,Travel_Frequently,303,Sales,4,Marketing,Female,75,1,Sales Representative,3,Married,2231,11314,No,18,3,80,6,3,3,4,3,1
22,No,Travel_Rarely,1256,Research & Development,1,Medical,Male,80,1,Research Scientist,4,Married,2323,11992,No,24,4,80,2,6,3,2,2,2
27,No,Non-Travel,691,Research & Development,3,Medical,Male,57,1,Research Scientist,2,Divorced,2024,5970,No,18,3,80,6,1,1,2,2,2
28,No,Travel_Rarely,440,Research & Development,3,Medical,Male,42,1,Research Scientist,4,Married,2713,6672,No,11,3,80,5,2,1,5,2,0
57,No,Travel_Rarely,334,Research & Development,2,Life Sciences,Male,83,3,Healthcare Representative,4,Divorced,9439,23402,Yes,16,3,80,12,2,1,5,3,1
27,No,Non-Travel,1450,Research & Development,3,Medical,Male,79,1,Research Scientist,3,Divorced,2566,25326,Yes,15,3,80,1,2,2,1,1,0
50,No,Travel_Rarely,1452,Research & Development,3,Life Sciences,Female,53,5,Manager,2,Single,19926,17053,No,15,3,80,21,5,3,5,4,4
41,No,Travel_Rarely,465,Research & Development,3,Life Sciences,Male,56,1,Research Scientist,3,Divorced,2451,4609,No,12,3,80,13,2,3,9,8,1
30,No,Travel_Rarely,1339,Sales,3,Life Sciences,Female,41,3,Sales Executive,4,Married,9419,8053,No,12,3,80,12,2,3,10,9,7
38,No,Travel_Rarely,702,Sales,4,Life Sciences,Female,59,2,Sales Executive,4,Single,8686,12930,No,22,4,80,12,2,4,8,3,0
32,No,Travel_Rarely,120,Research & Development,5,Life Sciences,Male,43,1,Research Scientist,3,Single,3038,12430,No,20,4,80,8,2,3,5,4,1
27,No,Travel_Rarely,1157,Research & Development,3,Technical Degree,Male,51,1,Research Scientist,2,Married,3058,13364,Yes,16,3,80,6,3,2,5,2,1
19,Yes,Travel_Frequently,602,Sales,1,Technical Degree,Female,100,1,Sales Representative,1,Single,2325,20989,No,21,4,80,1,5,4,0,0,0
36,No,Travel_Frequently,1480,Research & Development,2,Medical,Male,30,1,Laboratory Technician,2,Single,2088,15062,No,12,3,80,13,3,2,8,7,7
30,No,Non-Travel,111,Research & Development,3,Medical,Male,66,2,Laboratory Technician,1,Divorced,3072,11012,No,11,3,80,12,4,3,12,9,6
45,No,Travel_Rarely,1268,Sales,2,Life Sciences,Female,30,2,Sales Executive,1,Divorced,5006,6319,Yes,11,3,80,9,3,4,5,4,0
56,No,Travel_Rarely,713,Research & Development,3,Life Sciences,Female,67,1,Research Scientist,1,Divorced,4257,13939,Yes,18,3,80,19,3,3,2,2,2
33,No,Travel_Rarely,134,Research & Development,3,Life Sciences,Male,90,1,Research Scientist,4,Single,2500,10515,No,14,3,80,4,2,4,3,1,0
19,Yes,Travel_Rarely,303,Research & Development,3,Life Sciences,Male,47,1,Laboratory Technician,4,Single,1102,9241,No,22,4,80,1,3,2,1,0,1
46,No,Travel_Rarely,526,Sales,2,Marketing,Female,92,3,Sales Executive,1,Divorced,10453,2137,No,25,4,80,24,2,3,24,13,15
38,No,Travel_Rarely,1380,Research & Development,2,Life Sciences,Female,75,1,Laboratory Technician,4,Single,2288,6319,No,12,3,80,2,3,3,2,2,2
31,No,Travel_Rarely,140,Research & Development,1,Medical,Female,95,1,Research Scientist,4,Married,3929,6984,Yes,23,4,80,7,0,3,4,2,0
